,X,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
29,29,Research published in @sciencemagazine details the early development of what might eventually become a drug that'sâ€¦ https://t.co/UdujAcAvKw,FALSE,0,NA,3/8/19 20:40,TRUE,NA,1.10412E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",ASHPOfficial,0,FALSE,FALSE,NA,NA
30,30,RT @TheWWImuseum: #WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Over the neâ€¦,FALSE,0,NA,3/8/19 20:39,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KateSutterLHS,6,TRUE,FALSE,NA,NA
31,31,"Torcedor Tricolor, vc quer o NenÃª no seu time ?
#fluminense #flu #fluminensefc #ffc #fluzÃ£o #tricolor #nenÃªâ€¦ https://t.co/gKw5pB1SiE",FALSE,0,NA,3/8/19 20:38,TRUE,NA,1.10412E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LuanJunca,0,FALSE,FALSE,NA,NA
32,32,"RT @TheBishF1: Remembering the wonderful &amp; inimitable Henry Hope-Frost, who died #OnThisDay a year ago. Great journalist, brilliant broadcaâ€¦",FALSE,0,NA,3/8/19 20:37,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SeanPFleetwood,49,TRUE,FALSE,NA,NA
33,33,RT @Salud_CZ8: Personal de enfermerÃ­a del #HospitalMonteSinaÃ­ difunde en salas de espera las medidas de prevenciÃ³n contra la #Influenza #Teâ€¦,FALSE,0,NA,3/8/19 20:37,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",maryfalconi,2,TRUE,FALSE,NA,NA
34,34,Big cat in progress ðŸŒ¨ #snow #leopard #bigcat #artist #cat #feline #cold #icy #snowy #fur #paint #beautiful #passionâ€¦ https://t.co/UPGFylZEn3,FALSE,0,NA,3/8/19 20:36,TRUE,NA,1.10412E+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Boon_Ying,0,FALSE,FALSE,NA,NA
35,35,What's the Best Way to Reach Out to #Cold Website Visitor #Leads? https://t.co/13Bj3I2gPm,FALSE,0,NA,3/8/19 20:34,FALSE,NA,1.10412E+18,NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",Team_Clickback,0,FALSE,FALSE,NA,NA
36,36,RT @CindyDayWeather: Check out these #record #cold temperatures: never before has it been this cold on March 8th.  By Monday AM it will beâ€¦,FALSE,0,NA,3/8/19 20:33,FALSE,NA,1.10412E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Ken_Simmons_NL,1,TRUE,FALSE,NA,NA
37,37,Check out how researchers are using artificial intelligence to make a better #flu vaccine.  #AI #pharmacyâ€¦ https://t.co/DW1GjkM3Aq,FALSE,0,NA,3/8/19 20:32,TRUE,NA,1.10412E+18,NA,"<a href=""https://contenttrees.com"" rel=""nofollow"">Content Trees</a>",URIpharmacyCPD,0,FALSE,FALSE,NA,NA
38,38,A confection of lightly frosted pulmonaria ðŸ’œðŸ’•ðŸ’œ #flower #flowers #growing #winter #spring #bulbs #garden #gardeningâ€¦ https://t.co/mUWHy1TGCj,FALSE,0,NA,3/8/19 20:31,TRUE,NA,1.10412E+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",jenithegardener,0,FALSE,FALSE,NA,NA
